"x"	"y"	"z"	"r"	"g"	"b"	"a"
"1"	-0.149188	0.169574	0.451836	194	197	193	255
"2"	-0.147548	0.169676	0.452748	195	199	192	255
"3"	-0.150582	0.166773	0.447909	195	198	194	255
"4"	-0.14836	0.165653	0.444784	195	199	192	255
"5"	-0.146007	0.164231	0.44065	198	197	193	255
"6"	-0.150949	0.165301	0.448933	194	197	193	255
"7"	-0.148424	0.163584	0.443788	193	196	193	255
"8"	-0.145926	0.161871	0.438645	169	166	160	255
"9"	-0.151622	0.164423	0.451975	193	196	193	255
"10"	-0.148787	0.16212	0.444811	193	196	192	255
"11"	-0.146285	0.16042	0.439668	161	156	150	255
"12"	-0.152602	0.164124	0.457036	193	196	193	255
"13"	-0.149301	0.160948	0.446843	194	197	193	255
"14"	-0.146939	0.159557	0.442709	202	201	195	255
"15"	-0.149666	0.15947	0.447866	196	197	193	255
"16"	-0.147448	0.158384	0.444741	202	196	193	255
"17"	-0.150183	0.158279	0.449899	192	195	191	255
"18"	-0.148255	0.157783	0.448792	201	196	189	255
"19"	-0.148368	0.161362	0.461814	192	187	180	255
"20"	-0.150701	0.157076	0.451931	193	196	192	255
"21"	-0.148767	0.156583	0.450824	195	194	188	255
"22"	-0.14713	0.156667	0.451736	169	165	155	255
"23"	-0.151069	0.155577	0.452954	192	195	191	255
"24"	-0.149281	0.155372	0.452856	194	193	187	255
"25"	-0.147201	0.154596	0.45074	176	172	161	255
"26"	-0.151438	0.154073	0.453978	192	193	187	255
"27"	-0.149647	0.153867	0.453879	193	192	186	255
"28"	-0.147417	0.152813	0.450754	188	184	173	255
"29"	-0.152112	0.153124	0.45702	193	190	184	255
"30"	-0.150462	0.153199	0.457931	195	192	178	255
"31"	-0.148074	0.151871	0.453795	182	176	159	255
"32"	-0.15294	0.152438	0.461072	193	189	179	255
"33"	-0.150831	0.151675	0.458954	191	188	168	255
"34"	-0.148291	0.15008	0.453809	193	184	163	255
"35"	-0.154229	0.152557	0.468153	198	190	163	255
"36"	-0.1512	0.150146	0.459977	186	175	144	255
